product_url,product_title,product_description,product_price,image_url,image_path
https://www.siamtak.com/products/gzt-0215-44,GZT-0215-44,กระเบื้องสระว่ายนํ้า GZT-0215-44,790,https://siamtak.b-cdn.net/hero-product/GZT-0215-44.jpg?width=600&quality=80&format=webp,data\granite_images\gzt-0215-44.jpg
https://www.siamtak.com/products/gzt-0005-44,GZT-0005-44,หินแกรนิต GZT-0005-44,790,https://siamtak.b-cdn.net/hero-product/GZT-0005-44.jpg?width=600&quality=80&format=webp,data\granite_images\gzt-0005-44.jpg
https://www.siamtak.com/products/lt-bss,หินลูกเต๋า ดำซานซี,หินแกรนิต หินลูกเต๋า ดำซานซี,12,https://siamtak.b-cdn.net/hero-product/67bc1a2430b20a8453cea5a4_CLV-low.jpg,data\granite_images\lt-bss.jpg
https://www.siamtak.com/products/oyd-6267-79,OYD-6267-79,กระเบื้องผิวด้าน OYD-6267-79,469,https://siamtak.b-cdn.net/hero-product/OYD-6267-79.jpg?width=600&quality=80&format=webp,data\granite_images\oyd-6267-79.jpg
https://www.siamtak.com/products/edw-4a66-5766,EDW-4A66-5766,กระเบื้องผิวด้าน EDW-4A66-5766,199,https://siamtak.b-cdn.net/hero-product/EDW-4A66-5766.jpg?width=600&quality=80&format=webp,data\granite_images\edw-4a66-5766.jpg
https://www.siamtak.com/products/sh-6200-m,SH-6200-M,กระเบื้องผิวด้าน SH-6200-M,319,https://siamtak.b-cdn.net/hero-product/SH-6200-M.jpg?width=600&quality=80&format=webp,data\granite_images\sh-6200-m.jpg
https://www.siamtak.com/products/mid-m612-806a-2,MID-M612-806A,หินแกรนิต MID-M612-806A,299,https://siamtak.b-cdn.net/hero-product/MID-M612-806A.jpg?width=600&quality=80&format=webp,data\granite_images\mid-m612-806a-2.jpg
https://www.siamtak.com/products/gzt-g003-44,GZT-G003-44,กระเบื้องสระว่ายนํ้า GZT-G003-44,790,https://siamtak.b-cdn.net/hero-product/GZT-G003-44.jpg?width=600&quality=80&format=webp,data\granite_images\gzt-g003-44.jpg
https://www.siamtak.com/products/std-a007-1358,STD-A007-1358,ขาโต๊ะสแตนเลสเกรด 201 คุณภาพสูง แข็งแรง ทนทาน ชุบสารกันสนิมชนิดพิเศษ สามารถเลือกท็อปหินที่มีในร้านได้มากกว่า 200 ชนิด,6890,https://siamtak.b-cdn.net/hero-product/STD-A007-1358.jpg?width=600&quality=80&format=webp,data\granite_images\std-a007-1358.jpg
https://www.siamtak.com/products/stc-a007-1358,STC-A007-1358,ขาโต๊ะสแตนเลสเกรด 201 คุณภาพสูง แข็งแรง ทนทาน ชุบสารกันสนิมชนิดพิเศษ สามารถเลือกท็อปหินที่มีในร้านได้มากกว่า 200 ชนิด,7990,https://siamtak.b-cdn.net/hero-product/STC-A007-1358.jpg?width=600&quality=80&format=webp,data\granite_images\stc-a007-1358.jpg
